category,foods,source_type,kcal/100gr,Crude Protein (gr) ,Arginine (gr),Histidine (gr),Isoleucine (gr),Methionine (gr),Methionine + Cystine (gr),Leucine (gr),Lysine (gr),Phenylalanine (gr),Phenylalanine & Tyrosine (gr),Threonine (gr),Tryptophan (gr),Valine (gr),Glutamic Acid (gr),Taurine (gr),Total Fat (gr),Linoleic Acid n-6 (gr),a-Linolenic Acid n-3 (gr),Linoleic Acid / a-Linolenic Acid,Arachidonic Acid (gr),Eicosapentaenoic & Docosahexaenoic n-3 (gr),EPA / DPA,Calcium (gr),Phosphorus (gr),Magnesium (mg),Sodium (mg),Potassium (gr),Chloride (mg),Iron (mg),Copper (mg),Zinc (mg),Manganese (mg),Selenium (mcg),Iodine (mcg),Vitamin A (RE) (mcg of all trans-retinol),Vitamin A (UI),Cholecalciferol (Vit D) (mcg),Vitamin D3 (IU),Vitamin E (a-tocopherol) (mg=IU),Vitamin K (Menadion) (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Pyridoxine (B6) (mg),Niacin (B3) (mg),Pantothenic Acid (B5) (mg),Cobalamin (B12) (mcg),Folic Acid (B9) (mcg),Biotin (B7) (mg),Choline (B4) (mg),Glucose (gr),Sucrose (gr),Lactose (gr),Cellulose (gr),TDF (gr),Cystine (gr),Tyrosine (gr),DM%,Moisture%,Ash (gr)
گوشت قرمز,گوشت بره پخته,home,271,25.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,18.5,0.3,0.05,5.999999999999999,0.05,0.02,,14,180,21,62,270,60,1.8,0.08,4.0,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.07,0.2,0.16,5.5,0.5,2.3,5,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,54,46,1.0
گوشت قرمز,گوشت بز پخته,home,143,27.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,3.0,0.3,0.05,5.999999999999999,0.05,0.02,,14,200,25,70,380,60,3.0,0.08,4.0,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.1,0.4,0.3,4.0,0.5,1.2,5,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,68,32,1.2
گوشت قرمز,گوشت گاو دنده بدون چربی پخته,home,210,28.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,10.0,0.3,0.05,5.999999999999999,0.05,0.02,,12,200,22,55,300,60,2.5,0.08,5.0,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.05,0.18,0.38,5.0,0.5,2.1,7,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,60,40,1.1
گوشت قرمز,گوشت گاو دنده پخته,home,291,24.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,21.0,0.3,0.05,5.999999999999999,0.05,0.02,,10,170,18,65,250,60,2.2,0.08,4.5,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.04,0.16,0.3,4.0,0.5,2.0,6,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,53,47,0.9
گوشت قرمز,گوشت گاو راسته پخته,home,195,28.5,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,8.0,0.3,0.05,5.999999999999999,0.05,0.02,,11,210,22,55,310,60,2.6,0.08,5.1,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.05,0.19,0.4,5.3,0.5,2.2,8,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,62,38,1.0
گوشت قرمز,گوشت گاو سردست پخته,home,210,27.5,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,10.5,0.3,0.05,5.999999999999999,0.05,0.02,,12,200,21,58,300,60,2.5,0.08,5.0,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.05,0.18,0.38,5.0,0.5,2.1,7,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,60,40,1.0
گوشت قرمز,گوشت گاو فیله پخته,home,200,28.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,9.0,0.3,0.05,5.999999999999999,0.05,0.02,,11,210,22,55,310,60,2.6,0.08,5.0,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.05,0.19,0.4,5.5,0.5,2.3,8,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,61,39,1.0
گوشت قرمز,گوشت گاو قلوه گاه پخته,home,280,24.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,20.0,0.3,0.05,5.999999999999999,0.05,0.02,,10,170,18,65,250,60,2.2,0.08,4.3,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.04,0.16,0.3,4.0,0.5,2.0,6,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,54,46,0.9
گوشت قرمز,گوشت گاو پخته متوسط چرب,home,250,26.0,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,15.5,0.3,0.05,5.999999999999999,0.05,0.02,,10,190,20,60,290,60,2.4,0.08,4.8,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.05,0.18,0.35,4.8,0.5,2.2,7,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,57,43,1.0
گوشت قرمز,گوشت گاو پخته کم چرب,home,176,29.5,1.7,0.9,1.2,0.7,1.0,2.2,2.3,1.1,2.0,1.2,0.3,1.3,,0.04,5.5,0.3,0.05,5.999999999999999,0.05,0.02,,12,220,22,55,320,60,2.8,0.08,5.5,0.02,25.0,3,0.0,0,0.1,4,0.3,0.0015,0.06,0.2,0.4,5.5,0.5,2.5,8,2,80,0.0,0.0,0.0,0.0,0.0,0.3,0.9,64,36,1.1
